Date : 2024-01-25 03:45:45
Directory : c:\Learning\sample\synchronous github\MarkdownOL\source
Total : 86 files,  8078 codes, 819 comments, 896 blanks, all 9793 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| js\functions\App                                                                                                                |         18 |        614 |        177 |         63 |        854 |
| js\functions\App (Files)                                                                                                        |          3 |        239 |        101 |         20 |        360 |
| js\functions\App\export                                                                                                         |          3 |         44 |          9 |          9 |         62 |
| js\functions\App\qiniu                                                                                                          |          1 |          0 |         23 |          1 |         24 |
| js\functions\App\regs                                                                                                           |          1 |          5 |          0 |          2 |          7 |
| js\functions\App\share                                                                                                          |          1 |         25 |          6 |          2 |         33 |
| js\functions\App\sound                                                                                                          |          1 |         27 |          8 |          5 |         40 |
| js\functions\App\text                                                                                                           |          6 |        205 |         18 |         19 |        242 |
| js\functions\App\textMemory                                                                                                     |          1 |         62 |         12 |          2 |         76 |
| js\functions\App\theme                                                                                                          |          1 |          7 |          0 |          3 |         10 |
| js\functions\Events                                                                                                             |          7 |        340 |         79 |         23 |        442 |
| js\functions\Events (Files)                                                                                                     |          4 |        189 |         32 |         13 |        234 |
| js\functions\Events\key                                                                                                         |          3 |        151 |         47 |         10 |        208 |
| js\functions\Events\key (Files)                                                                                                 |          2 |        127 |         40 |          8 |        175 |
| js\functions\Events\key\actions                                                                                                 |          1 |         24 |          7 |          2 |         33 |
| js\functions\Init                                                                                                               |          2 |         99 |         26 |          6 |        131 |
| js\functions\Monaco                                                                                                             |          4 |      1,054 |         45 |          8 |      1,107 |
| js\functions\Monaco\format                                                                                                      |          1 |         26 |         12 |          2 |         40 |
| js\functions\Monaco\palette                                                                                                     |          1 |          0 |         20 |          3 |         23 |
| js\functions\Monaco\snippets                                                                                                    |          2 |      1,028 |         13 |          3 |      1,044 |
| js\functions\Parser                                                                                                             |          3 |        266 |         51 |         17 |        334 |
| js\types                                                                                                                        |          3 |        187 |         57 |         27 |        271 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                        | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Learning\sample\synchronous github\MarkdownOL\source\assets\about.md                                                         | Markdown       |         61 |          0 |         17 |         78 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\assets\img\aboutBox关闭.svg                                               | XML            |          1 |          0 |          0 |          1 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\assets\welcome.md                                                       | Markdown       |         42 |          0 |         17 |         59 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\aboutBox.css                                                        | CSS            |         59 |          4 |          7 |         70 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\body.less                                                           | Less           |          5 |          2 |          1 |          8 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\clueParser.css                                                      | CSS            |        177 |          9 |          8 |        194 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\githubMdCss.min.css                                                 | CSS            |          1 |          0 |          0 |          1 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\githubMdDark.css                                                    | CSS            |        905 |          1 |        185 |      1,091 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\githubMdLight.css                                                   | CSS            |        875 |          0 |        161 |      1,036 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\header.less                                                         | Less           |         44 |          2 |          4 |         50 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\hljs.css                                                            | CSS            |          1 |          8 |          0 |          9 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\index.less                                                          | Less           |        139 |         11 |         18 |        168 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\katex.min.css                                                       | CSS            |          1 |          0 |          0 |          1 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\mail.css                                                            | CSS            |      1,090 |         14 |        176 |      1,280 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\print.less                                                          | Less           |         28 |          7 |          3 |         38 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\css\response.less                                                       | Less           |         52 |         18 |          3 |         73 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\App.tsx                                                        | TypeScript JSX |         46 |          1 |          5 |         52 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\Arco\Image.tsx                                      | TypeScript JSX |         11 |          0 |          3 |         14 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\Mui\Gridv2.tsx                                      | TypeScript JSX |         32 |          0 |          3 |         35 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\CustomButton.tsx                              | TypeScript JSX |         36 |         41 |          2 |         79 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\Dialog.tsx                                    | TypeScript JSX |         31 |          9 |          4 |         44 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\DragBox.tsx                                   | TypeScript JSX |         47 |          0 |          9 |         56 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\Layout\Box.tsx                                | TypeScript JSX |         33 |          1 |          3 |         37 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\Layout\LR.tsx                                 | TypeScript JSX |         62 |          7 |          6 |         75 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\Layout\TB.tsx                                 | TypeScript JSX |         65 |          7 |          6 |         78 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\MagicImg.tsx                                  | TypeScript JSX |        106 |          3 |          3 |        112 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\Modal.tsx                                     | TypeScript JSX |         22 |          0 |          2 |         24 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\Monaco\monaco.tsx                             | TypeScript JSX |        106 |         21 |          4 |        131 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\Select.tsx                                    | TypeScript JSX |         30 |          0 |          3 |         33 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\StyleMenu.tsx                                 | TypeScript JSX |         40 |          3 |          3 |         46 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\Switches\SwitchNormal.tsx                     | TypeScript JSX |          0 |          0 |          1 |          1 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\Switches\SwitchTheme.tsx                      | TypeScript JSX |         54 |          0 |          2 |         56 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Components\myCom\Tooltips.tsx                                  | TypeScript JSX |         27 |          0 |          3 |         30 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Mobx\Config.ts                                                 | TypeScript     |         18 |          1 |          5 |         24 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Mobx\Image.ts                                                  | TypeScript     |         18 |          1 |          5 |         24 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\Mobx\Theme.ts                                                  | TypeScript     |         18 |          1 |          5 |         24 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\SubComponents\Body.tsx                                         | TypeScript JSX |         41 |          2 |          5 |         48 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\SubComponents\Header.tsx                                       | TypeScript JSX |        224 |         20 |         13 |        257 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\SubComponents\SubBody\MdArea.tsx                               | TypeScript JSX |          9 |          1 |          1 |         11 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\SubComponents\SubHeader\Export\Export.tsx                      | TypeScript JSX |        171 |         16 |          8 |        195 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\SubComponents\SubHeader\Menu.tsx                               | TypeScript JSX |        165 |         22 |         10 |        197 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\SubComponents\SubHeader\Settings\Settings.tsx                  | TypeScript JSX |         33 |         45 |          2 |         80 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\SubComponents\SubHeader\Settings\Subsettings\SettingsLeft.tsx  | TypeScript JSX |        118 |          0 |          6 |        124 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\SubComponents\SubHeader\Settings\Subsettings\SettingsRight.tsx | TypeScript JSX |          0 |          0 |          1 |          1 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\SubComponents\SubHeader\Settings\Subsettings\SettingsTop.tsx   | TypeScript JSX |         29 |          0 |          6 |         35 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\SubComponents\SubHeader\Share\Share.tsx                        | TypeScript JSX |        112 |         10 |          3 |        125 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\SubComponents\SubHeader\SubImgManager\ImageManager.tsx         | TypeScript JSX |        148 |         19 |          7 |        174 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\React\index.tsx                                                      | TypeScript JSX |          6 |          5 |          0 |         11 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\db.js                                                  | JavaScript     |        196 |         89 |         17 |        302 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\export\domToImg.ts                                     | TypeScript     |         24 |          4 |          4 |         32 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\export\exportAsMd.ts                                   | TypeScript     |         11 |          4 |          3 |         18 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\export\myPrint.ts                                      | TypeScript     |          9 |          1 |          2 |         12 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\qiniu\index.ts                                         | TypeScript     |          0 |         23 |          1 |         24 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\regs\regs.ts                                           | TypeScript     |          5 |          0 |          2 |          7 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\save.ts                                                | TypeScript     |         35 |         11 |          2 |         48 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\script.ts                                              | TypeScript     |          8 |          1 |          1 |         10 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\share\CloudMail.ts                                     | TypeScript     |         25 |          6 |          2 |         33 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\sound\sound.ts                                         | TypeScript     |         27 |          8 |          5 |         40 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\textMemory\memory.ts                                   | TypeScript     |         62 |         12 |          2 |         76 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\text\cursor.ts                                         | TypeScript     |          0 |          0 |          1 |          1 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\text\getMdText.ts                                      | TypeScript     |         21 |          0 |          3 |         24 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\text\getSelection.ts                                   | TypeScript     |         31 |          4 |          3 |         38 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\text\insertTextAtCursor.ts                             | TypeScript     |         96 |          4 |          7 |        107 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\text\palette.ts                                        | TypeScript     |          9 |          0 |          1 |         10 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\text\replaceText.ts                                    | TypeScript     |         48 |         10 |          4 |         62 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\theme\change.ts                                        | TypeScript     |          7 |          0 |          3 |         10 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\aboutBox.ts                                         | TypeScript     |         27 |          2 |          2 |         31 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\convert.ts                                          | TypeScript     |         28 |          7 |          3 |         38 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\dragFile.ts                                         | TypeScript     |         79 |          9 |          2 |         90 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\key\actions\table.ts                                | TypeScript     |         24 |          7 |          2 |         33 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\key\fastKey.ts                                      | TypeScript     |         32 |         25 |          5 |         62 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\key\monacoKey.ts                                    | TypeScript     |         95 |         15 |          3 |        113 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\pasteEvent.ts                                       | TypeScript     |         55 |         14 |          6 |         75 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Init\allInit.ts                                            | TypeScript     |         75 |         22 |          5 |        102 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Init\blankTextInit.ts                                      | TypeScript     |         24 |          4 |          1 |         29 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Monaco\format\format.ts                                    | TypeScript     |         26 |         12 |          2 |         40 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Monaco\palette\palette.ts                                  | TypeScript     |          0 |         20 |          3 |         23 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Monaco\snippets\latexRules.ts                              | TypeScript     |        952 |         11 |          2 |        965 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Monaco\snippets\snippets.ts                                | TypeScript     |         76 |          2 |          1 |         79 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Parser\VFS.ts                                              | TypeScript     |         26 |          6 |          2 |         34 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Parser\pageBreaker.ts                                      | TypeScript     |          8 |          4 |          1 |         13 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Parser\renderer.ts                                         | TypeScript     |        232 |         41 |         14 |        287 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\index.ts                                                             | TypeScript     |        179 |         72 |         13 |        264 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\types\app.d.ts                                                       | TypeScript     |         22 |         51 |          2 |         75 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\types\index.d.ts                                                     | TypeScript     |        124 |          5 |         15 |        144 |
| c:\Learning\sample\synchronous github\MarkdownOL\source\js\types\type.d.ts                                                      | TypeScript     |         41 |          1 |         10 |         52 |
| Total                                                                                                                           |                |      8,078 |        819 |        896 |      9,793 |
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
